ref	temp	days
"Delatte et al., 2009"	5	11
"Delatte et al., 2009"	10	2
"Delatte et al., 2009"	15	7.4
"Delatte et al., 2009"	20	2.9
"Delatte et al., 2009"	25	4.5
"Delatte et al., 2009"	30	6.7
"Delatte et al., 2009"	35	7.1
"Tseng & Wu, 1951"	25	2
"Udaka, 1959"	10	6.5
"Udaka, 1959"	17	6.5
"Udaka, 1959"	24	2.5
"Udaka, 1959"	27	2.5
"Udaka, 1959"	26	2.5
"Hein, 1975 II"	20	6
"Hein, 1975 II"	25	4
"Hein, 1975 II"	30	3
