ref	temp	days
"Delatte et al., 2009"	15	8.7
"Delatte et al., 2009"	20	4.1
"Delatte et al., 2009"	25	2.7
"Delatte et al., 2009"	30	1.9
"Delatte et al., 2009"	35	1.7
"Liu, 1965"	27	2.4
"Tseng & Wu, 1951"	25	2
"Udaka, 1959"	10	4
"Udaka, 1959"	17	1.5
"Udaka, 1959"	24	1.5
"Udaka, 1959"	27	1.5
"Udaka, 1959"	26	1.5
"Halcrow, 1955"	27	2.5
