ref	temp	days
"Delatte et al., 2009"	15	26.9
"Delatte et al., 2009"	20	10.6
"Delatte et al., 2009"	25	7.8
"Delatte et al., 2009"	30	7.1
"Delatte et al., 2009"	35	12.1
"Liu, 1965"	27	6.7
"Medici et al., 2011"	27	7.67
"Tseng & Wu, 1951"	25	8
"Udaka, 1959"	10	19
"Udaka, 1959"	17	8.5
"Udaka, 1959"	24	6
"Udaka, 1959"	27	9.5
"Udaka, 1959"	26	8
"Galliard, 1958"	21	8
"Galliard, 1958"	30	6
"Halcrow, 1955"	27	8.75
"Hein, 1975 III"	20	13
"Hein, 1975 III"	25	9
"Hein, 1975 III"	30	7
