ref	temp	surv
"Chang et al., 2007"	2.5	0.434005505
"Chang et al., 2007"	5	0.637993756
"Chang et al., 2007"	10	0.948646389
"Delatte et al., 2009"	15	0.964524075
"Delatte et al., 2009"	20	0.987450914
"O'Donnell & Armbruster, 2010"	21	0.980325893
"Delatte et al., 2009"	25	0.97868017
"Dieng et al., 2003"	25	0.858249276
"Dieng et al., 2003"	25	0.989381981
"Monteiro et al., 2007"	25	0.980731691
"Islam & Dobson, 2006"	25	0.998329349
"Dieng et al., 2002 (Leaf Litter…)"	26	1
"Dieng et al., 2002 (Leaf Litter…)"	26	0.987530063
"Dieng et al., 2002 (Leaf Litter…)"	26	0.988125971
"Dieng et al., 2002 (Leaf Litter…)"	26	0.972248638
"Dieng et al., 2002 (Leaf Litter…)"	26	0.939474368
"Medici et al., 2011"	27	0.969298574
"Medici et al., 2011"	27	0.971934848
"Medici et al., 2011"	27	0.947764681
"Medici et al., 2011"	27	0.972424631
"Medici et al., 2011"	27	0.957938089
"Medici et al., 2011"	27	0.965854769
"Aida et al., 2011"	29	0.977051519
"Delatte et al., 2009"	30	0.964663083
"Monteiro et al., 2007"	30	0.977776468
"Delatte et al., 2009"	35	0.833171632
"Monteiro et al., 2007"	35	0.928181398
"Delatte et al., 2009"	40	0
"Monteiro et al., 2007"	35	0.928181398
