ref	temp	surv
"Delatte et al., 2009"	5	0
"Delatte et al., 2009"	10	0
"Delatte et al., 2009"	15	0.987129976
"Delatte et al., 2009"	20	0.990914036
"Delatte et al., 2009"	25	0.993386868
"Monteiro et al., 2007"	25	1
"Islam & Dobson, 2006"	25	0.996495335
"Aida et al., 2011"	29	0.999516419
"Delatte et al., 2009"	30	0.986879208
"Monteiro et al., 2007"	30	1
"Delatte et al., 2009"	35	0.972149959
"Monteiro et al., 2007"	35	0.414537176
"Delatte et al., 2009"	40	0
